text,label,priority
"AKAUN SAYA KELOGOUT TERUS, TAK BOLEH LOGIN!!!!",issues,1
"OTP tak masuk sama sekali, padahal signal aman",issues,1
"kod verifikasi lambat sangat masuknya, jadi login gagal",issues,1
saya nak tukar e-mel akaun tapi link verifikasi error,issues,2
"pembayaran COD dah saya bayar, tapi status masih belum dibayar",issues,1
kenapa saya kena charge tambahan pas barang datang?,issues,1
"saya nak return, tapi opsi return tak muncul di aplikasi",issues,1
"barang sudah saya hantar balik, refundnya mohon diproses",issues,1
"saya minta pengambilan return, boleh dijadwalkan?",issues,2
pesanan digital saya belum aktif padahal sudah bayar,issues,1
kod voucher/produk digital sudah dibeli tapi belum boleh dipakai,issues,1
"tiket/booking saya tak muncul di akaun, padahal pembayaran sukses",issues,1
"QR tiket saya tak kebaca pas dipakai, segera",issues,1
"min saya salah pilih tanggal booking, nak ubah hari ini",issues,2
"saya dapet notifikasi gagal hantar, padahal saya standby",issues,1
"penghantaran dijadualkan semula sepihak, boleh dihantar hari ini?",issues,1
"pakej saya balik lagi ke gudang, lanjutannya macam mana?",issues,1
"chat saya ke KHIDMAT PELANGGAN tak dibalas, padahal segera",issues,2
MIN KENAPA CHAT SAYA TAK DI BALES!!!!,issues,2
"saya nak hapus akaun, tapi menu penghapusan tak ada",issues,3
"saya salah masukin nombor telp, boleh update?",issues,2
"riwayat transaksi saya kosong, data pesanan hilang",issues,1
"MIN PAKEJ SAYA HILANG DI TRACKING, TOLONG TINDAK LANJUT!!!",issues,1
"dah bayar tapi malah dibatalkan, ini macam mana min?",issues,1
gan ini ready tak?,search,1
Ready bos?,search,1
kak ada stok yg boleh dihantar hari ini?,search,1
berapa harga yang paling ekonomis?,search,1
boleh minta list harga terbaru?,search,1
ada promo hari ini tak?,search,1
diskon akhir bulan masih ada?,search,1
boleh COD?,search,1
boleh bayar guna ewallet?,search,1
boleh cicilan 0%?,search,1
caj penghantaran ke bandar saya kira berapa ya?,search,1
hantar ke luar negara boleh?,search,1
ada opsi same day / instant?,search,1
boleh pengambilan di kedai?,search,2
kedai buka jam berapa?,search,3
hari Ahad buka tak?,search,3
alamat tokonya di mana ya?,search,3
boleh minta katalog / brochure?,search,2
varian warna apa aja yang tersedia?,search,1
ukuran yang ada lengkapnya apa saja?,search,1
ada saiz kecil untuk anak?,search,2
kalau untuk pemula enaknya pilih yang mana?,search,2
rekomen yang awet dan gampang dipakai ya,search,2
yang paling best seller apa?,search,2
berbeza varian A sama B apa ya?,search,2
bahan/komposisinya apa?,search,2
produk ini aman untuk kulit sensitif tak?,search,2
ada garansi berapa lama?,search,2
kalau rosak dalam 7 hari boleh tukar?,search,2
pakej bundling yang hemat ada?,search,1
kalau beli 10 pcs ada harga grosir?,search,1
minimal pesanan untuk grosir berapa?,search,1
boleh custom nama/logo?,search,1
"kalau custom, pengerjaannya berapa lama?",search,1
ada pakej langganan bulanan?,search,1
benefit langganannya apa aja?,search,2
produk yang sesuai untuk kado cewek/ cowok ada?,search,2
ada yang versi premium? bedanya apa?,search,2
range harga produk ini start dari berapa?,search,1
boleh jelasin isi pakejnya dapet apa aja?,search,2
sparepart / refill ada?,search,2
boleh konsultasi dulu sebelum beli?,search,2
layanan tersedia di area saya tak?,search,1
"untuk event, pakej untuk 100 orang ada?",search,1
boleh request sample dulu?,search,2
ada opsi pre-order kalau stok habis?,search,1
yang cepat ludes biasanya varian apa?,search,2
ada yang hemat listrik?,search,2
ada stok warna putih atau cream?,search,1
"MINNN PESANAN SAYA BELUM DIPROSES, DAH 3 HARI!!!",issues,1
kak pesanan saya kenapa masih pending ya?,issues,1
"statusnya masih 'menunggu pengesahan' terus, tolong follow up",issues,1
dah bayar via transfer tapi sistem bilang belum bayar,issues,1
"pembayaran sukses tapi invois tak keluar, boleh dibantu?",issues,1
"bayar pakai kartu berhasil, tapi pesanan gagal dibuat",issues,1
duit saya kepotong tapi pesanannya batal otomatis,issues,1
"refundnya kenapa lama sangat ya min, dah seminggu",issues,1
REFUND SAYA BELUM MASUK!!! BILA SELESAI??,issues,1
baki wallet belum balik selepas pembatalan pesanan,issues,1
top up berhasil tapi baki tidak bertambah,issues,1
"min, saya salah bayar nominal, boleh dibetulkan?",issues,2
"nak tukar kaedah pembayaran, tapi tak ada opsinya",issues,2
"pesanan saya dipisah pengirimannya, yang satu kenapa belum jalan?",issues,1
no. tracking sudah ada tapi trackingnya error / tidak ditemukan,issues,1
"tracking berhenti di bandar transit, sudah 5 hari",issues,1
"pakej saya salah hantar ke bandar lain, tolong dibantu",issues,1
"pakej saya hilang, di tracking tak ada update",issues,1
kurier chat katanya alamat tak lengkap padahal lengkap,issues,1
kurier telpon tidak masuk tapi statusnya gagal antar,issues,1
"barang yang diterima cacat kilang, saya nak return",issues,1
"produk yang sampai tamat tempoh, saya komplain",issues,1
"saya terima barang bekas/ada bekas pakai, macam mana?",issues,1
"barang datang tanpa manual/kelengkapan, kurang part",issues,1
"saya cuma dapat setengah pesanan, sisanya mana?",issues,1
"pakej saya disegel ulang, saya takut isinya kurang",issues,1
"nak tukar saiz tapi sudah lewat 1 hari, masih boleh?",issues,2
"saya salah pilih warna, boleh ubah sebelum dihantar?",issues,1
"mohon ubah alamat penghantaran, saya pindah kos",issues,1
"nombor penerima salah 1 digit, boleh diganti?",issues,2
akaun saya kena suspend padahal tak ngapa-ngapain,issues,1
"AKAUN SAYA DIBLOKIR, PADAHAL MASIH ADA PESANAN AKTIF!",issues,1
"lupa kata laluan, tapi e-mel reset tidak pernah masuk",issues,1
"OTP masuknya lambat, jadinya expired terus",issues,1
"nombor saya tukar, jadi tak boleh verifikasi akaun",issues,1
"data alamat saya berubah sendiri, ini kenapa?",issues,1
saya dapat e-mel perubahan kata laluan padahal saya tidak ubah,issues,1
"langganan sudah bayar, tapi status masih non-aktif",issues,1
saya sudah berhenti langganan tapi masih ditagih,issues,1
"poin saya hangus tiba-tiba, boleh semak?",issues,2
poin tidak masuk selepas transaksi selesai,issues,2
"kod promo boleh dipilih, tapi pas bayar gagal dipakai",issues,2
"aplikasi nge-freeze pas klik bayar, jadi pesanan tak jelas",issues,1
"troli saya error, itemnya berubah sendiri",issues,2
"saya tidak boleh upload bukti bayaran, selalu gagal",issues,1
"perlukan invois perusahaan (dengan NPWP), boleh?",issues,1
dokumen e-invois yang saya download rosak/blank,issues,1
"pesanan jasa saya teknisinya belum datang, padahal jadual sekarang",issues,1
"teknisi datang tapi tidak menyelesaikan pekerjaan, macam mana?",issues,1
"booking saya berubah jadual sendiri, mohon kembalikan",issues,2
"tiket saya sudah dibayar, tapi QR belum muncul",issues,1
"voucher digital saya digunakan, tapi barang/layanan belum boleh diakses",issues,1
min barangnya masih ada tak?,search,1
stoknya aman kah untuk hari ini?,search,1
ready tak gan? nak checkout sekarang,search,1
kak ada warna maroon?,search,1
saiz 40-41 ada?,search,1
ada varian yang paling ringan?,search,2
yang paling cepat pengirimannya pakej apa?,search,1
boleh hantar instant untuk area dekat?,search,1
estimasi sampai ke bandar saya berapa hari?,search,1
ada percuma caj penghantaran minimal belanja berapa?,search,1
promo buy 1 get 1 ada tak?,search,1
lagi ada cashback?,search,1
harga normal vs harga promo bedanya berapa?,search,1
boleh nego kalau ambil banyak?,search,1
"untuk pembelian grosir, harganya macam mana?",search,1
minimal pesanan untuk reseller berapa?,search,1
ada pakej reseller / dropship?,search,1
boleh hantar tanpa invois di pakej (untuk gift)?,search,2
boleh request pembungkusan kayu/bubble ekstra?,search,2
produk ini asli/original kan?,search,2
ada sertifikasi resmi untuk produk ini?,search,2
"kalau untuk pemakaian outdoor, rekomendasi yang mana?",search,2
"untuk pemula, pilih varian apa ya?",search,2
komparasi model lama vs model baru apa bedanya?,search,2
boleh minta spek detail + ukuran dimensinya?,search,2
daya listriknya berapa watt?,search,2
baterainya boleh diganti?,search,2
adakah ada garansi resmi 1 tahun?,search,2
tersedia layanan instalasi di rumah?,search,1
boleh booking jadual pemasangan minggu ini?,search,1
menu paling favorit yang mana?,search,2
ada menu pedas level 1-5?,search,2
ada opsi tanpa MSG?,search,2
produk ini sesuai untuk anak kecil tak?,search,2
untuk ibu hamil aman?,search,2
boleh request sample tester?,search,2
"kalau pre-order, estimasi ready bila?",search,1
nak tanya adakah boleh custom warna?,search,1
custom minimal pesanan berapa pcs?,search,1
boleh hantar katalog PDF via WA?,search,2
lokasi store terdekat di mana ya?,search,3
waktu operasi hari ini sampai jam berapa?,search,3
buka pas cuti umum tak?,search,3
ada layanan antar untuk area kampus?,search,1
kaedah pembayaran apa aja yang tersedia?,search,1
boleh bayar transfer bank?,search,1
ada pakej langganan tahunan?,search,1
"kalau pesanan sebelum jam 12, boleh dihantar hari ini?",search,1
min pesanan saya kenapa belum di proses ya? segera,issues,1
"PESANAN SAYA STUCK DI DIPROSES, TOLONG CEPETIN!",issues,1
bila pesanan saya dihantar? saya perlukan hari ini,issues,1
"no. trackingnya masih kosong, padahal status sudah shipped",issues,1
"tracking numbernya invalid, boleh disemak?",issues,1
pakej dah nyampe bandar saya tapi tak dianter,issues,1
pakej saya balik lagi (return) padahal alamat benar,issues,1
barang saya ketuker sama pesanan orang lain,issues,1
"datang barangnya salah ukuran, saya pesen 42 tapi dapet 40",issues,1
"warna yang datang berbeza, saya pilih biru tapi datang hijau",issues,1
"barang rosak kena air pas sampai, minta tukar",issues,1
"isi pakej kurang, kabelnya tak ada",issues,1
"min, saya belum terima invois pembelian",issues,1
"invois yg saya download salah data, mohon revisi",issues,1
"pembayaran saya pending terus, padahal baki cukup",issues,1
"bayar via ewallet sukses, tapi pesanannya tak kebentuk",issues,1
kenapa transaksi saya ditolak? padahal data benar,issues,1
"saya salah pilih kaedah hantar, boleh diganti?",issues,2
"ongkirnya berubah selepas saya bayar, kenapa boleh?",issues,1
kenapa saya dikenakan biaya admin dua kali?,issues,1
baki saya kepotong 2x untuk 1 pesanan,issues,1
"MIN UANG SAYA KENAPA KEDEBIT, TAPI PESANAN GAGAL!!!",issues,1
"refund saya ditolak, alasannya apa ya?",issues,2
"saya minta refund sebagian, boleh?",issues,2
"refund ke rekening salah, boleh ubah rekening tujuan?",issues,1
refundnya masuknya ke mana? saya tak lihat di mutasi,issues,1
return saya ditolak padahal barang rosak,issues,1
"status return masih 'diproses' terus, dah 10 hari",issues,1
"saya hantar balik barang, tapi status belum diterima gudang",issues,1
saya nak ubah alamat tapi sistem tak ngijinin,issues,1
"nak ubah nama penerima, macam mana caranya?",issues,2
"saya tak boleh checkout, muncul error 500",issues,1
appnya blank putih pas buka pembayaran,issues,1
"min, ciri chat error tak boleh hantar pesan",issues,2
saya di blokir padahal baru daftar,issues,1
"ada orang masuk akaun saya, saya dapet OTP terus",issues,1
"KATA LALUAN SAYA KEGANTI SENDIRI, TOLONG AMANKAN AKAUN!",issues,1
"saya nak tukar nombor telefon, tapi verifikasi gagal",issues,1
kod OTP selalu salah padahal bener,issues,1
"e-mel verifikasi tak masuk, dah semak spam",issues,1
"akaun saya belum terverifikasi, padahal dokumen dah upload",issues,1
"dokumen KTP saya ditolak, alasannya apa?",issues,2
langganan saya auto-renew padahal saya tak nak,issues,1
kenapa saya masih ditagih selepas cancel subscription?,issues,1
poin saya tak boleh dipake pas checkout,issues,2
reward saya kepotong tanpa transaksi,issues,1
"kod promo bikin harga naik, ini bug ya?",issues,2
"saya perlukan bantuan segera, tiket komplain belum dijawab",issues,2
KHIDMAT PELANGGAN nya kemana? saya dah nunggu,issues,2
"saya nak hapus akaun, tapi prosesnya berhenti di verifikasi",issues,3
"MIN, PESANAN SAYA KEHAPUS DARI RIWAYAT. BOLEH BALIKIN?",issues,1
pesanan saya malah berubah jadi 'gagal' selepas bayar,issues,1
"min pakej saya pecah saat diterima, saya perlukan penggantian",issues,1
"notifikasi bilang sudah hantar, tapi saya belum dapat no. tracking",issues,1
"pesanan saya dobel, tolong batalkan yang satu",issues,1
min ada barang yg ready?,search,1
gan stok masih aman?,search,1
kak ini boleh dihantar hari ini tak?,search,1
"untuk yg paling murah, rekomendasi apa?",search,1
berapa harga satuannya?,search,1
harga grosir per dus berapa?,search,1
kalau beli 3 dapat diskon?,search,1
promo penghantaran percuma masih ada?,search,1
boleh bayar COD untuk area saya?,search,1
transfer bank apa aja yang tersedia?,search,1
boleh bayar pakai kartu kredit?,search,1
ada opsi cicilan?,search,1
kaedah penghantaran apa yg paling cepat?,search,1
boleh guna instant courier?,search,1
hantar ke luar bandar boleh?,search,1
ada penghantaran ke daerah terpencil?,search,1
produk ini ada warna pastel?,search,1
warna limited edition masih ada?,search,1
ukuran kecil/mini ada tak?,search,1
ada ukuran jumbo?,search,1
boleh minta saiz chart versi cm?,search,2
bahannya lembut tak?,search,2
bahan anti air?,search,2
produk ini sesuai untuk kulit berminyak?,search,2
ada varian tanpa pewangi?,search,2
komposisinya apa aja?,search,2
ini boleh dipakai anak umur 2 tahun?,search,2
ada sertifikat halal?,search,2
garansinya macam mana?,search,2
apa isi pakejnya lengkap?,search,2
ada bundling hemat untuk keluarga?,search,1
pakej untuk kantor isi berapa?,search,1
boleh custom logo perusahaan?,search,1
custom minimal berapa pcs?,search,1
"kalau PO, estimasi jadi berapa lama?",search,1
ada jasa instalasi?,search,1
boleh pasang di rumah saya?,search,1
boleh konsultasi kebutuhan dulu?,search,2
rekomendasi yang paling awet apa?,search,2
yang paling laris untuk kategori ini apa?,search,2
bedanya tipe X sama tipe Y apa?,search,2
lokasi tokonya dimana?,search,3
hari ini buka sampai jam berapa?,search,3
ada warna hitam doff?,search,1
ready stok untuk besok pagi ada?,search,1
"min pesanan saya belum ada update sama sekali, boleh semak?",issues,1
kenapa pesanan saya masih nunggu diproses ya?,issues,1
"PESANAN SAYA BELUM DIHANTAR, PADAHAL SUDAH BAYAR!!!",issues,1
"status pesanan tiba-tiba berubah jadi batal, saya tak batalin",issues,1
saya dah bayar tapi pesanannya hilang dari akaun,issues,1
"riwayat pesanan tak muncul, padahal semalam baru checkout",issues,1
"min, saya bayar tapi tak dapet pengesahan apa",issues,1
"e-mel pengesahan tak masuk, boleh hantar ulang?",issues,2
"VA sudah saya bayar, tapi status masih unpaid",issues,1
"baki terpotong tapi pembayaran ditolak, macam mana?",issues,1
"kartu saya terdebit tapi transaksi gagal, tolong refund",issues,1
"MIN BAKI SAYA KEAMBIL, PESANANNYA ERROR!!!",issues,1
saya kena double charge di pembayaran,issues,1
"refund saya nyangkut, sudah lewat estimasi",issues,1
refund masuk ke wallet atau rekening ya?,issues,2
"mohon percepat refund, ini segera",issues,1
"saya sudah return, tapi refund belum diproses",issues,1
"return saya sudah diterima gudang, tapi status masih pending",issues,1
"min, saya nak return sebab barang rosak, langkahnya apa?",issues,1
